34 23
999	999	15	55	4	94	999	999	999	999	999	53	999	999	9	999	999	999	16	999	999	999	67	999	12	7	80	97	59	999	999	5	84	28	
999	999	999	999	999	999	36	999	42	999	999	60	57	75	18	999	999	999	999	999	79	999	8	999	999	999	65	28	999	999	63	999	999	88	
999	35	999	999	999	14	47	86	16	64	999	55	999	999	999	999	97	999	999	999	999	999	81	82	999	98	999	999	76	95	19	999	16	27	
999	21	999	999	90	16	999	12	999	999	999	999	999	999	999	99	70	11	999	999	33	6	31	999	44	92	75	31	999	999	999	81	999	63	
999	57	999	27	999	999	22	20	999	20	999	999	999	75	999	999	95	69	999	25	37	999	43	999	84	49	999	88	999	13	999	59	84	999	
62	999	999	25	999	999	999	64	19	50	82	999	999	999	999	10	18	24	96	39	999	18	999	85	50	10	999	91	51	86	57	999	34	48	
999	999	25	97	72	999	999	999	62	30	999	59	999	32	71	10	35	999	84	999	24	84	999	999	999	93	39	999	999	999	60	30	19	999	
40	999	29	33	11	7	999	999	999	70	999	41	999	999	90	999	999	52	999	53	999	999	999	56	57	999	999	5	999	94	999	999	53	86	
28	57	16	96	92	999	34	999	999	999	64	999	11	999	64	999	73	41	999	66	999	999	74	999	36	999	999	999	999	67	15	2	999	999	
999	999	60	999	999	999	999	999	9	999	999	999	999	999	41	999	48	81	999	999	20	2	999	38	999	75	999	999	999	999	999	23	94	24	
62	60	30	999	999	999	19	999	84	999	999	64	999	999	62	80	999	47	999	53	99	27	999	999	999	999	999	86	999	44	999	2	85	43	
18	999	999	999	74	999	80	56	999	999	50	999	76	999	48	999	999	999	999	999	999	999	999	999	999	999	999	75	3	999	69	7	999	95	
999	999	999	86	999	40	84	999	37	999	999	999	999	999	999	999	999	999	999	69	27	999	94	90	72	81	51	999	999	14	999	73	4	999	
999	93	65	11	999	27	45	24	30	7	999	5	30	999	999	56	97	999	87	89	23	999	999	999	999	74	999	70	999	67	6	999	999	98	
999	999	999	999	60	999	999	999	53	999	21	53	999	74	999	999	65	88	999	42	93	23	99	95	18	32	4	999	25	999	88	78	10	999	
78	32	999	999	0	999	999	47	76	999	43	999	98	999	52	999	999	9	25	999	999	999	41	48	999	15	18	999	29	999	22	30	60	999	
94	999	59	999	999	95	99	9	49	999	999	15	999	8	999	7	999	999	96	69	94	2	16	999	58	78	36	65	999	15	999	999	13	999	
25	87	40	71	92	999	59	999	23	999	999	14	999	75	999	98	999	999	85	999	50	69	999	5	999	91	999	999	1	999	999	58	999	66	
29	999	999	999	63	59	98	3	41	75	45	999	79	999	999	78	999	45	999	999	999	65	78	76	999	49	999	999	37	999	46	999	999	999	
94	49	999	93	95	40	999	25	83	999	29	999	999	999	21	60	999	999	33	999	52	14	999	92	78	0	2	13	0	89	999	999	999	999	
35	32	999	999	10	999	999	31	52	999	76	999	35	999	999	48	999	999	93	999	999	0	999	57	999	999	999	999	84	999	60	18	999	80	
999	94	999	49	999	36	999	18	15	999	32	999	999	48	999	19	40	999	68	2	91	999	999	54	999	25	98	47	59	17	78	65	999	53	
999	999	96	999	999	999	999	999	999	999	9	999	999	999	999	66	999	999	999	21	2	66	999	83	999	999	999	98	999	96	999	29	57	8	
999	999	74	22	73	17	999	58	24	52	999	54	83	82	98	64	999	999	999	999	5	50	77	999	83	999	83	999	999	89	999	0	78	92	
999	39	999	89	52	61	999	87	47	21	17	48	91	41	85	999	999	77	72	95	27	999	17	70	999	999	97	27	43	89	21	24	999	88	
66	999	999	999	62	999	999	63	999	91	999	97	999	4	1	999	94	999	999	999	999	67	999	54	999	999	999	999	26	31	64	58	999	92	
15	48	77	999	3	999	999	999	27	23	55	999	92	9	999	999	999	78	999	999	64	999	999	99	97	999	999	37	50	999	54	999	999	54	
72	999	49	78	999	20	44	28	57	81	999	49	999	36	999	999	98	999	999	31	999	27	29	17	999	999	999	999	95	33	38	81	84	999	
86	94	999	999	50	999	999	999	63	999	999	41	999	999	999	999	999	24	99	999	6	999	51	49	999	999	999	85	999	999	40	999	3	999	
999	97	999	4	999	9	999	999	90	999	999	999	70	15	999	999	999	999	67	3	999	999	999	93	58	77	53	999	999	999	29	85	55	16	
999	20	85	999	999	999	97	70	43	999	78	24	65	65	73	59	999	81	0	999	37	999	81	999	999	8	96	2	999	999	999	999	999	76	
32	999	73	82	70	80	999	999	999	60	999	56	54	999	97	44	59	54	82	999	999	73	999	999	67	43	41	28	999	82	17	999	70	999	
62	67	999	999	93	999	999	95	6	999	999	999	999	3	999	999	999	20	6	999	16	999	999	999	82	999	999	999	87	2	24	999	999	15	
999	999	999	999	90	999	72	999	11	999	45	999	999	999	999	68	88	999	5	999	83	74	28	999	999	999	30	999	999	77	0	999	999	999	
